epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
54,13015.8,1.6828,0.99071,1.08961,4.49217,0.84155,0.70709,0.77435,0.43974,1.64109,1.10119,1.47696,0,0.0006502,0.0006502,0.0006502
55,13263.8,1.6861,1.01225,1.09259,4.35928,0.84064,0.72279,0.78808,0.45885,1.63002,1.14595,1.48441,0,0.0006436,0.0006436,0.0006436
56,13522.1,1.64739,0.98674,1.09911,4.32265,0.85413,0.72941,0.79307,0.46282,1.61261,1.04637,1.44021,0,0.000637,0.000637,0.000637
57,13768.2,1.66993,1.02906,1.11076,4.34048,0.81685,0.69714,0.76874,0.41124,1.76275,1.24916,1.58359,0,0.0006304,0.0006304,0.0006304
58,13987.9,1.68439,0.98278,1.08825,4.31858,0.83695,0.71025,0.7788,0.43892,1.64295,1.08187,1.47269,0,0.0006238,0.0006238,0.0006238
59,14246.3,1.68837,0.95807,1.06782,4.18228,0.85434,0.70313,0.77673,0.42995,1.73687,1.18167,1.54381,0,0.0006172,0.0006172,0.0006172
60,14473.2,1.65179,0.9728,1.09659,4.16609,0.85141,0.70889,0.78941,0.43145,1.6964,1.15712,1.51311,0,0.0006106,0.0006106,0.0006106
61,14751.6,1.68119,0.98069,1.09467,4.18229,0.87401,0.7212,0.80352,0.46561,1.60198,0.9898,1.4396,0,0.000604,0.000604,0.000604
62,14952.8,1.63432,0.91851,1.06606,4.0136,0.83907,0.69455,0.76631,0.4187,1.69729,1.108,1.49098,0,0.0005974,0.0005974,0.0005974
63,15183.8,1.65602,0.93803,1.06326,4.04613,0.85057,0.72114,0.78838,0.43327,1.67917,1.1159,1.46407,0,0.0005908,0.0005908,0.0005908
64,15428.3,1.64875,0.93679,1.06352,3.93097,0.85052,0.72097,0.79237,0.44372,1.64057,1.04664,1.45918,0,0.0005842,0.0005842,0.0005842
65,15800,1.66045,0.96471,1.07571,4.01014,0.84969,0.72389,0.79575,0.45475,1.62089,1.0822,1.45384,0,0.0005776,0.0005776,0.0005776
66,16028.5,1.64721,0.94641,1.07269,3.94138,0.86188,0.71556,0.79481,0.45462,1.60811,1.03383,1.44247,0,0.000571,0.000571,0.000571
67,16264.5,1.66631,0.96353,1.07844,4.02544,0.86,0.71317,0.78974,0.44202,1.64091,1.10706,1.4612,0,0.0005644,0.0005644,0.0005644
68,16505.3,1.59335,0.90767,1.0757,3.92405,0.84688,0.69811,0.764,0.42121,1.70014,1.0816,1.53142,0,0.0005578,0.0005578,0.0005578
