epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
83,20506.2,1.50212,0.76544,0.005,1.62156,0.88162,0.76476,0.82705,0.47978,1.57906,0.9092,0.01515,0,0.0004588,0.0004588,0.0004588
84,20748.1,1.48519,0.74348,0.00506,1.62208,0.87514,0.76591,0.8295,0.4917,1.54688,0.94287,0.01494,0,0.0004522,0.0004522,0.0004522
85,21102.8,1.48841,0.73902,0.00488,1.5726,0.86759,0.74484,0.80841,0.4498,1.62221,0.93298,0.01527,0,0.0004456,0.0004456,0.0004456
86,21396.7,1.49749,0.75299,0.00465,1.593,0.85613,0.74176,0.80647,0.46657,1.62213,0.94715,0.01569,0,0.000439,0.000439,0.000439
87,21629.8,1.5132,0.75652,0.00496,1.58147,0.87167,0.73013,0.79296,0.44972,1.67675,0.97016,0.01656,0,0.0004324,0.0004324,0.0004324
88,21838.7,1.48003,0.75337,0.00483,1.58716,0.85909,0.74456,0.80988,0.45988,1.60171,0.94466,0.01517,0,0.0004258,0.0004258,0.0004258
89,22097.7,1.46414,0.72684,0.0046,1.5598,0.8783,0.73729,0.81317,0.47783,1.56432,0.91965,0.01494,0,0.0004192,0.0004192,0.0004192
90,22333.1,1.51132,0.79159,0.00487,1.5706,0.88523,0.74836,0.81974,0.46932,1.64447,0.93859,0.016,0,0.0004126,0.0004126,0.0004126
91,22535.2,1.51675,0.7564,0.00467,1.57802,0.87303,0.75245,0.81716,0.48211,1.55947,0.91881,0.01498,0,0.000406,0.000406,0.000406
92,22761.7,1.48833,0.74338,0.00469,1.53794,0.86411,0.76371,0.8218,0.47659,1.59609,0.89794,0.01534,0,0.0003994,0.0003994,0.0003994
93,23027.3,1.46037,0.73223,0.0045,1.50195,0.86412,0.76033,0.82596,0.49374,1.53729,0.95102,0.01489,0,0.0003928,0.0003928,0.0003928
94,23279.1,1.48263,0.75182,0.00505,1.53807,0.86714,0.73628,0.80133,0.44552,1.61226,0.97893,0.01511,0,0.0003862,0.0003862,0.0003862
95,23519.1,1.51681,0.77015,0.00503,1.52234,0.89034,0.75339,0.82935,0.49278,1.54918,0.94375,0.01479,0,0.0003796,0.0003796,0.0003796
96,23755.2,1.48885,0.73116,0.00491,1.52832,0.88403,0.75728,0.82693,0.48313,1.64046,0.92967,0.01655,0,0.000373,0.000373,0.000373
97,23998.1,1.47634,0.72176,0.00523,1.52446,0.88203,0.74872,0.81838,0.47462,1.58866,0.93036,0.01516,0,0.0003664,0.0003664,0.0003664
98,24234.7,1.47135,0.72904,0.00449,1.47273,0.88368,0.75566,0.82732,0.49104,1.54833,0.9067,0.01497,0,0.0003598,0.0003598,0.0003598
99,24438.6,1.46906,0.72428,0.00439,1.47036,0.87004,0.75182,0.81782,0.4726,1.56278,0.91237,0.01457,0,0.0003532,0.0003532,0.0003532
