epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
53,5667.62,1.35718,0.80792,1.1311,2.89217,0.89634,0.73793,0.80392,0.47083,1.41137,0.8916,1.43557,0,0.0006568,0.0006568,0.0006568
54,5779.23,1.31547,0.78694,1.13536,2.84896,0.8893,0.72704,0.79882,0.45069,1.43151,0.90015,1.4262,0,0.0006502,0.0006502,0.0006502
55,5972.95,1.31146,0.78323,1.13319,2.81584,0.91428,0.73201,0.80614,0.48104,1.43798,0.88566,1.45183,0,0.0006436,0.0006436,0.0006436
56,6043.06,1.31052,0.78802,1.13509,2.79568,0.88692,0.72729,0.79669,0.47309,1.37099,0.85957,1.41562,0,0.000637,0.000637,0.000637
57,6129.29,1.30208,0.80344,1.14634,2.81416,0.85524,0.69022,0.75052,0.40415,1.60491,0.95355,1.6041,0,0.0006304,0.0006304,0.0006304
58,6250.72,1.31827,0.77867,1.13227,2.74211,0.88631,0.73654,0.80551,0.45252,1.47316,0.8711,1.47148,0,0.0006238,0.0006238,0.0006238
59,6298.2,1.32712,0.77505,1.12277,2.71856,0.88443,0.73102,0.80488,0.46254,1.43322,0.87423,1.46306,0,0.0006172,0.0006172,0.0006172
60,6451.11,1.29357,0.77,1.13324,2.68107,0.90187,0.73438,0.80491,0.45266,1.46997,0.87392,1.46188,0,0.0006106,0.0006106,0.0006106
61,6547.46,1.29777,0.76173,1.12933,2.67016,0.89746,0.75153,0.81616,0.48498,1.3818,0.88168,1.4186,0,0.000604,0.000604,0.000604
62,6644.7,1.27163,0.73308,1.10544,2.56236,0.87463,0.71458,0.78215,0.43887,1.51944,0.90087,1.51377,0,0.0005974,0.0005974,0.0005974
63,6793.85,1.3015,0.75505,1.10935,2.64268,0.89095,0.74689,0.79958,0.44944,1.49428,0.90643,1.50066,0,0.0005908,0.0005908,0.0005908
64,6860.36,1.29668,0.74459,1.10936,2.5909,0.87979,0.75091,0.80419,0.45071,1.46067,0.88879,1.46578,0,0.0005842,0.0005842,0.0005842
65,6961.67,1.29274,0.74604,1.11649,2.54252,0.89716,0.74004,0.81192,0.4694,1.40093,0.88012,1.423,0,0.0005776,0.0005776,0.0005776
66,7070,1.27466,0.73367,1.10686,2.47697,0.88891,0.75532,0.8181,0.48409,1.41375,0.85851,1.45673,0,0.000571,0.000571,0.000571
67,7173.67,1.28192,0.74793,1.11626,2.5527,0.89698,0.74476,0.81598,0.47185,1.40163,0.86396,1.43009,0,0.0005644,0.0005644,0.0005644
68,7294.36,1.24259,0.72353,1.10445,2.45514,0.87687,0.72166,0.78749,0.4642,1.39799,0.84032,1.43119,0,0.0005578,0.0005578,0.0005578
69,7422.37,1.26665,0.74289,1.11194,2.45974,0.88766,0.7337,0.80168,0.4748,1.38301,0.82957,1.41902,0,0.0005512,0.0005512,0.0005512
70,7506.75,1.28353,0.74671,1.12166,2.50902,0.89157,0.74109,0.81659,0.47378,1.40235,0.86581,1.42702,0,0.0005446,0.0005446,0.0005446
